-1;0,051493442;-0,70190568;-0,87521814;
-1,30103;-0,43558767;-0,87850782;-1,471959;
-1,60206;-0,92943527;-1,1155275;-2,1218271;
-1,90309;-1,2892103;-1,379248;-2,7474544;
-2,20412;-1,6156768;-1,659871;-3,3775392;
-2,50515;-1,9286618;-1,9501824;-4,031833;
-2,80618;-2,2354984;-2,2457124;-4,7286891;
-3,10721;-2,5393911;-2,5439556;-5,2350948;
-3,40824;-2,8418425;-2,8435827;-5,4004307;
-3,70927;-3,1435796;-3,1439089;-5,6391859;
-4,0103;-3,4449633;-3,4445861;-5,91051;
-4,31133;-3,7461701;-3,7454398;-6,1970459;
-4,6123599;-4,0472885;-4,0463816;-6,4909184;
-4,9133899;-4,3483627;-4,3473675;-6,788392;
-5,2144199;-4,6494147;-4,6483754;-7,1776312;
-5,5154499;-4,9953703;-4,9947354;-7,814767;
-5,8164799;-5,4646826;-5,464367;-8,5850713;
-6,1175099;-6,0003812;-6,0002239;-9,4218145;
-6,4185399;-6,5692653;-6,5691867;-10,291687;
-6,7195699;-7,1547388;-7,1546995;-11,177924;
-7,0205999;-7,748506;-7,7484862;-12,071688;
-7,3216299;-8,3464197;-8,3464096;-12,965912;
-7,6226599;-8,9464067;-8,9464012;-13,847115;
-7,9236899;-9,5474303;-9,5474267;-14,672191;
-8,2247199;-10,148973;-10,148969;-15,110341;
-8,5257499;-10,750776;-10,750767;-15,716181;
-8,8267799;-11,352711;-11,352694;-15,969035;
-9,1278099;-11,9547;-11,954696;-16,107105;
-9,4288399;-12,556746;-12,556702;-16,16927;
-9,7298699;-13,15854;-13,158693;-16,245403;
-10,0309;-13,759798;-13,759845;-16,243337;
-10,33193;-14,358021;-14,358002;-16,244886;
-10,63296;-14,943927;-14,944815;-16,250514;
-10,93399;-15,488736;-15,488541;-16,25224;
-11,23502;-15,91606;-15,912725;-16,252608;
-11,53605;-16,150351;-16,140215;-16,255077;
-11,83708;-16,224755;-16,223757;-16,255408;
-12,13811;-16,24882;-16,247975;-16,255705;
-12,43914;-16,254585;-16,253767;-16,255567;
-12,74017;-16,255235;-16,255094;-16,255591;
-13,0412;-16,255602;-16,255638;-16,255677;
-13,34223;-16,383568;-16,383481;-16,383542;
-13,64326;-16,985646;-16,985559;-16,985611;
-13,94429;-17,587714;-17,587628;-17,587675;
-14,24532;-18,189779;-18,189692;-18,189739;
-14,54635;-18,791842;-18,791755;-18,7918;
-14,84738;-19,393903;-19,393816;-19,39386;
-15,14841;-19,995962;-19,995877;-19,995919;
-15,44944;-20,59802;-20,597937;-20,598229;
-15,75047;-21,200329;-21,200249;-21,200284;
-16,0515;-21,80238;-21,802309;-21,802336;
-16,35253;-22,404422;-22,404369;-22,418555;
-16,65356;-23,020634;-23,020597;-23,020597;
-16,95459;-23,622657;-23,622657;-23,737057;
-17,25562;-24,038087;-1,#INF;-1,#INF;
-17,55665;-16,25562;-16,25562;-16,25562;
-17,85768;-16,25562;-16,25562;-16,25562;
